iter	RMSE
0	0.5289624665
1	0.5257894933
2	0.5233012149
3	0.5211315613
4	0.5188119953
5	0.5167789722
6	0.5151361126
7	0.5134638736
8	0.5119581998
9	0.5106228139
10	0.5094225404
11	0.5083764468
12	0.5073653008
13	0.5065762186
14	0.5057594801
15	0.5047143397
16	0.5040222537
17	0.5031774166
18	0.5025834468
19	0.5018270393
20	0.501064046
21	0.5000380257
22	0.499503614
23	0.4988174661
24	0.4982495814
25	0.4978112117
26	0.4973305081
27	0.4970349273
28	0.4967729984
29	0.4960316427
30	0.4956379762
31	0.4949642695
32	0.4944724108
33	0.4941848221
34	0.493859664
35	0.4935533574
36	0.4933214801
37	0.4929947113
38	0.492721711
39	0.4924643062
40	0.4920881011
41	0.491751084
42	0.4914859397
43	0.4912831304
44	0.4911171347
45	0.4907570538
46	0.490641502
47	0.4904161672
48	0.4900677726
49	0.489892482
50	0.4895579962
51	0.4890761866
52	0.4888871027
53	0.4886207832
54	0.4884293085
55	0.4883021271
56	0.4881520086
57	0.4879907236
58	0.4876904658
59	0.4872799403
60	0.4867151254
61	0.486375432
62	0.4861036596
63	0.4858174631
64	0.4856490036
65	0.4855633547
66	0.4853272186
67	0.4852253288
68	0.4849253937
69	0.4848395947
70	0.4846693967
71	0.4845626104
72	0.484352933
73	0.4842434544
74	0.4841780932
75	0.4840315539
76	0.483968563
77	0.4836133363
78	0.4834961434
79	0.4833935771
80	0.4833492887
81	0.4831349266
82	0.4830093243
83	0.4828866228
84	0.4827654546
85	0.4825986837
86	0.4822999078
87	0.4821333278
88	0.4818658169
89	0.4817248652
90	0.4815348711
91	0.4814326087
92	0.4813412576
93	0.4812794842
94	0.4810728303
95	0.4809163818
96	0.4806607292
97	0.4804696107
98	0.4803685063
99	0.4803120141
100	0.4801835452
101	0.4799379805
102	0.4798396304
103	0.4796463103
104	0.4795720981
105	0.4794913753
106	0.4792568393
107	0.4791471382
108	0.4790541183
109	0.4789847652
110	0.4787684266
111	0.4785981333
112	0.478526993
113	0.4784639565
114	0.4782952329
115	0.4781587687
116	0.4780675943
117	0.4778759164
118	0.4777973631
119	0.4777515345
120	0.4776857785
121	0.4776495202
122	0.4775340351
123	0.4773965809
124	0.4770404616
125	0.4768826267
126	0.4767564411
127	0.4767003018
128	0.4765127982
129	0.4763501412
130	0.4762742484
131	0.47619874
132	0.47617874
133	0.4761287887
134	0.4760349416
135	0.4759545057
136	0.4758678339
137	0.47568569
138	0.4754283418
139	0.4753504095
140	0.4752645059
141	0.4748432952
142	0.4748093025
143	0.4745889529
144	0.4744900973
145	0.4744636011
146	0.4744170372
147	0.4743132628
148	0.4741841636
149	0.4740593963
150	0.4739987762
151	0.4739088038
152	0.4738817963
153	0.473813603
154	0.4737840023
155	0.4735255169
156	0.4734102269
157	0.473299373
158	0.4731267637
159	0.4730436202
160	0.472924804
161	0.4727454792
162	0.4724453272
163	0.4723805094
164	0.4721340294
165	0.4719606876
166	0.4717952141
167	0.4716817633
168	0.4716132463
169	0.4714777012
170	0.4713982731
171	0.4712320814
172	0.4710987732
173	0.4710329955
174	0.4708216553
175	0.4707681582
176	0.4707558703
177	0.4705451937
178	0.4704369248
179	0.4704104945
180	0.4702532962
181	0.4701448908
182	0.4700196577
183	0.4699351184
184	0.4697534504
185	0.4695922698
186	0.4695156672
187	0.4693292425
188	0.4691949082
189	0.4691029331
190	0.4688882462
191	0.4688410646
192	0.4687793784
193	0.4685881912
194	0.4683923033
195	0.4682577785
196	0.4680904688
197	0.4679281925
198	0.4678486991
199	0.4677134061
200	0.4675996057
201	0.4674464755
202	0.4673470675
203	0.4671491832
204	0.4670970248
205	0.4670578402
206	0.466908384
207	0.4667700437
208	0.4666856469
209	0.4666451047
210	0.4665493951
211	0.4664310011
212	0.4663321744
213	0.4662696025
214	0.4661204518
215	0.4660779862
216	0.4659908321
217	0.4659023671
218	0.4658020352
219	0.4657206421
220	0.4656810333
221	0.4656211543
222	0.4655941954
223	0.4655181017
224	0.4654499135
225	0.4653273558
226	0.4651840717
227	0.4651048034
228	0.4650189021
229	0.464863317
230	0.4647516891
231	0.4646479971
232	0.4645034759
233	0.4643656934
234	0.4642683029
235	0.4641424234
236	0.4640375169
237	0.4639835386
238	0.4638903837
239	0.4637771443
240	0.4636419925
241	0.4635607806
242	0.4634950442
243	0.4634499794
244	0.4633708008
245	0.4632397575
246	0.4631540415
247	0.463073474
248	0.4628860325
249	0.4627855309
250	0.4626967002
251	0.4626284749
252	0.462493272
253	0.462444905
254	0.4623457749
255	0.4622254117
256	0.4620750045
257	0.4619169185
258	0.4618455666
259	0.4616575181
260	0.4615419818
261	0.4614612839
262	0.4613746594
263	0.4613373901
264	0.4612599526
265	0.4611987526
266	0.4611302674
267	0.4610083106
268	0.4608843115
269	0.4606955427
270	0.4605883764
271	0.4605216319
272	0.4604133443
273	0.4603737051
274	0.4603087801
275	0.460242907
276	0.4600820844
277	0.460008502
278	0.4599308037
279	0.4597666838
280	0.4597013458
281	0.4596194535
282	0.4595368061
283	0.4594491829
284	0.4592660337
285	0.4592428555
286	0.4592180332
287	0.4590770736
288	0.4589236455
289	0.4588582475
