iter	Passed	Remaining
0	3	3265
1	5	2728
2	8	2721
3	10	2597
4	12	2514
5	14	2461
6	16	2400
7	19	2364
8	21	2333
9	23	2346
10	26	2353
11	28	2371
12	31	2398
13	33	2381
14	36	2397
15	39	2438
16	41	2411
17	44	2407
18	46	2413
19	48	2398
20	51	2392
21	53	2378
22	55	2370
23	58	2365
24	60	2352
25	62	2346
26	65	2348
27	67	2342
28	69	2332
29	71	2323
30	74	2316
31	76	2313
32	78	2305
33	81	2303
34	83	2298
35	85	2287
36	87	2278
37	90	2289
38	92	2282
39	94	2274
40	97	2274
41	99	2269
42	101	2265
43	103	2257
44	105	2248
45	108	2246
46	110	2240
47	112	2233
48	114	2227
49	117	2226
50	119	2226
51	122	2225
52	124	2223
53	126	2219
54	128	2214
55	131	2209
56	133	2209
57	135	2204
58	138	2205
59	140	2203
60	142	2200
61	145	2195
62	147	2195
63	150	2194
64	152	2189
65	154	2185
66	156	2184
67	159	2181
68	161	2181
69	163	2176
70	165	2170
71	168	2168
72	170	2166
73	172	2164
74	175	2161
75	177	2161
76	179	2155
77	182	2153
78	184	2151
79	186	2149
80	189	2145
81	191	2143
82	193	2139
83	195	2136
84	198	2134
85	200	2133
86	203	2134
87	205	2131
88	207	2128
89	210	2128
90	212	2126
91	214	2121
92	217	2118
93	219	2113
94	221	2111
95	224	2110
96	226	2109
97	228	2107
98	231	2104
99	233	2101
100	235	2097
101	237	2095
102	240	2094
103	242	2092
104	245	2088
105	247	2083
106	249	2081
107	252	2084
108	255	2085
109	257	2086
110	260	2084
111	262	2082
112	264	2077
113	267	2076
114	269	2072
115	271	2069
116	273	2066
117	276	2065
118	278	2062
119	280	2059
120	282	2054
121	285	2051
122	287	2048
123	289	2048
124	292	2046
125	294	2044
126	296	2041
127	299	2037
128	301	2034
129	303	2031
130	305	2028
131	307	2024
132	309	2017
133	311	2013
134	314	2013
135	316	2010
136	318	2007
137	320	2004
138	323	2002
139	325	1998
140	327	1995
141	329	1993
142	331	1989
143	334	1986
144	336	1982
145	338	1979
146	340	1975
147	342	1972
148	344	1969
149	347	1966
150	349	1963
151	351	1960
152	354	1962
153	356	1959
154	358	1956
155	361	1954
156	363	1952
157	366	1952
158	368	1950
159	370	1947
160	373	1944
161	375	1942
162	377	1940
163	380	1938
164	382	1937
165	385	1935
166	388	1936
167	390	1933
168	392	1930
169	394	1927
170	396	1924
171	399	1922
172	401	1919
173	403	1917
174	406	1915
175	408	1911
176	410	1907
177	412	1905
178	414	1901
179	416	1898
180	419	1896
181	421	1895
182	423	1892
183	426	1889
184	428	1886
185	430	1884
186	432	1882
187	435	1882
188	437	1879
189	440	1876
190	442	1875
191	444	1871
192	446	1867
193	448	1864
194	450	1861
195	453	1858
196	455	1857
197	458	1857
198	460	1854
199	462	1851
200	465	1848
201	467	1847
202	470	1846
203	472	1844
204	474	1841
205	476	1837
206	479	1835
207	481	1833
208	483	1831
209	485	1827
210	488	1825
211	490	1823
212	493	1821
213	495	1819
214	497	1816
215	499	1813
216	502	1811
217	504	1809
218	506	1807
219	509	1806
220	511	1803
221	514	1801
222	516	1799
223	518	1797
224	521	1795
225	523	1793
226	526	1792
227	528	1789
228	531	1788
229	533	1785
230	535	1783
231	538	1781
232	540	1778
233	542	1776
234	544	1773
235	547	1771
236	549	1770
237	552	1767
238	554	1764
239	556	1763
240	559	1761
241	561	1758
242	563	1756
243	565	1753
244	568	1750
245	570	1748
246	572	1745
247	574	1743
248	577	1741
249	579	1738
250	581	1736
251	584	1733
252	586	1731
253	588	1729
254	591	1726
255	593	1724
256	595	1722
257	598	1720
258	600	1718
259	603	1716
260	605	1714
261	607	1712
262	610	1709
263	612	1707
264	614	1704
265	616	1702
266	619	1699
267	621	1697
268	623	1695
269	626	1693
270	629	1692
271	631	1689
272	633	1687
273	635	1684
274	637	1681
275	640	1678
276	642	1677
277	644	1675
278	647	1673
279	650	1673
280	653	1671
281	655	1669
282	657	1666
283	660	1665
284	662	1662
285	664	1660
286	667	1658
287	670	1656
288	672	1653
289	674	1651
290	676	1649
291	679	1647
292	681	1645
293	683	1642
294	686	1640
295	688	1638
296	691	1636
297	693	1633
298	695	1631
299	697	1628
300	700	1626
301	702	1623
302	704	1620
303	707	1620
304	710	1618
305	712	1615
306	714	1613
307	716	1610
308	718	1607
309	720	1604
310	722	1601
311	725	1599
312	727	1596
313	729	1594
314	732	1592
315	734	1589
316	736	1586
317	738	1584
318	741	1582
319	743	1579
320	745	1577
321	748	1575
322	750	1572
323	752	1570
324	755	1568
325	757	1566
326	759	1563
327	762	1561
328	764	1558
329	766	1556
330	768	1553
331	770	1550
332	773	1548
333	775	1546
334	777	1543
335	779	1541
336	782	1539
337	784	1537
338	787	1535
339	789	1532
340	792	1531
341	795	1529
342	798	1529
343	800	1527
344	803	1525
345	805	1523
346	808	1521
347	810	1518
348	812	1516
349	815	1514
350	818	1512
351	820	1510
352	822	1508
353	826	1507
354	828	1505
355	831	1504
356	833	1501
357	836	1499
358	838	1497
359	841	1496
360	844	1495
361	847	1492
362	849	1490
363	852	1488
364	854	1486
365	857	1485
366	861	1486
367	863	1483
368	866	1481
369	868	1479
370	871	1477
371	874	1476
372	877	1474
373	879	1472
374	881	1469
375	883	1466
376	886	1464
377	888	1462
378	890	1459
379	893	1457
380	895	1455
381	897	1452
382	900	1450
383	902	1447
384	904	1444
385	906	1442
386	908	1439
387	911	1437
388	913	1434
389	915	1432
390	917	1429
391	919	1426
392	922	1424
393	924	1421
394	926	1419
395	928	1416
396	930	1413
397	933	1411
398	935	1408
399	937	1406
400	939	1403
401	942	1401
402	944	1398
403	946	1396
404	948	1393
405	951	1391
406	953	1389
407	955	1387
408	958	1384
409	960	1381
410	962	1379
411	964	1376
412	966	1374
413	969	1371
414	971	1369
415	973	1366
416	976	1364
417	978	1362
418	980	1359
419	982	1357
420	984	1354
421	987	1352
422	989	1349
423	991	1346
424	993	1344
425	996	1342
426	998	1339
427	1000	1336
428	1002	1334
429	1005	1332
430	1007	1330
431	1009	1327
432	1011	1325
433	1014	1322
434	1016	1320
435	1018	1317
436	1020	1315
437	1022	1312
438	1024	1309
439	1027	1307
440	1029	1305
441	1031	1302
442	1034	1300
443	1036	1298
444	1039	1295
445	1041	1293
446	1043	1291
447	1045	1288
448	1047	1285
449	1049	1283
450	1052	1281
451	1054	1278
452	1057	1276
453	1059	1274
454	1061	1271
455	1064	1269
456	1066	1266
457	1068	1264
458	1070	1262
459	1073	1259
460	1075	1257
461	1077	1254
462	1079	1251
463	1081	1249
464	1084	1247
465	1087	1246
466	1090	1244
467	1092	1241
468	1094	1239
469	1096	1236
470	1098	1233
471	1100	1231
472	1103	1228
473	1105	1226
474	1107	1224
475	1109	1221
476	1112	1219
477	1114	1217
478	1116	1214
479	1119	1212
480	1121	1210
481	1123	1207
482	1126	1205
483	1128	1203
484	1131	1201
485	1133	1198
486	1135	1196
487	1138	1194
488	1140	1192
489	1143	1189
490	1145	1187
491	1147	1185
492	1149	1182
493	1152	1180
494	1154	1177
495	1156	1175
496	1158	1172
497	1161	1170
498	1163	1168
499	1165	1165
500	1168	1163
501	1170	1160
502	1172	1158
503	1174	1156
504	1177	1153
505	1179	1151
506	1181	1149
507	1184	1146
508	1186	1144
509	1188	1142
510	1191	1139
511	1193	1137
512	1195	1135
513	1198	1132
514	1200	1130
515	1202	1127
516	1204	1125
517	1206	1123
518	1209	1120
519	1212	1119
520	1215	1117
521	1217	1114
522	1219	1112
523	1222	1110
524	1224	1107
525	1226	1105
526	1229	1103
527	1231	1100
528	1233	1098
529	1235	1095
530	1238	1093
531	1240	1091
532	1242	1088
533	1245	1086
534	1247	1084
535	1249	1081
536	1252	1079
537	1254	1077
538	1256	1074
539	1259	1072
540	1261	1070
541	1263	1067
542	1266	1065
543	1268	1063
544	1270	1060
545	1272	1058
546	1275	1056
547	1277	1053
548	1279	1051
549	1281	1048
550	1284	1046
551	1286	1044
552	1289	1042
553	1291	1039
554	1293	1037
555	1296	1035
556	1299	1033
557	1302	1031
558	1305	1029
559	1307	1027
560	1309	1024
561	1311	1022
562	1314	1019
563	1316	1017
564	1318	1015
565	1320	1012
566	1322	1010
567	1325	1008
568	1327	1005
569	1329	1003
570	1332	1000
571	1334	998
572	1336	996
573	1338	993
574	1341	991
575	1343	989
576	1346	986
577	1348	984
578	1350	982
579	1353	979
580	1355	977
581	1357	975
582	1359	972
583	1362	970
584	1364	967
585	1366	965
586	1368	962
587	1370	960
588	1373	958
589	1375	955
590	1377	953
591	1380	951
592	1382	949
593	1384	946
594	1386	943
595	1389	941
596	1391	939
597	1393	936
598	1396	934
599	1398	932
600	1400	930
601	1403	927
602	1405	925
603	1407	923
604	1410	920
605	1412	918
606	1414	916
607	1417	913
608	1420	911
609	1422	909
610	1424	906
611	1426	904
612	1428	901
613	1430	899
614	1433	897
615	1435	894
616	1437	892
617	1439	890
618	1442	887
619	1444	885
620	1447	883
621	1449	880
